Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,x var,,6,31,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A20-6 XL 8 pole EVO,3500,400,30000,8,3.4,14,78,40,28,3,1120,31360,3920000,109760000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-8XL EVO,1500,350,30000,10,2.6,26,78,40,28,3,1120,31360,1680000,47040000,3.93022E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-33 S V3,1440,300,20000,14,1.4,41,70,28,37,4,1036,38332,1491840,55198080,7.56383E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-28 S V3,1140,300,20000,14,1.1,68,70,28,37,4,1036,38332,1181040,43698480,9.55431E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-42S-UAV,850,250,20000,14,0.6,140,89,28,37,6,1036,38332,880600,32582200,1.16975E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-42S-UAV2,850,250,20000,14,0.6,140,89,28,37,6,1036,38332,880600,32582200,1.16975E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-52S-UAV,680,250,20000,14,0.4,220,89,28,37,6,1036,38332,704480,26065760,1.46219E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-12 M V3,1370,400,18000,14,2.2,22,104,34,37,4,1258,46546,1723460,63768020,4.65296E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-14 M V2,3600,500,45000,6,3.1,19,104,34,35,4,1190,41650,4284000,149940000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-16 M V3,1060,400,18000,14,1.6,38,104,34,37,4,1258,46546,1333480,49338760,6.01374E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-18 M V2,2900,500,45000,6,1.8,31,104,34,35,4,1190,41650,3451000,120785000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-24M-UAV,680,350,20000,14,0.9,80,134,34,37,6,1258,46546,855440,31651280,8.76891E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-30M-UAV,550,350,20000,14,0.7,100,134,34,37,6,1258,46546,691900,25600300,1.08416E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-10 L V3,1185,500,16000,14,2.3,23,143,40,37.2,4,1488,55353.6,1763280,65594016,3.36877E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
