Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,x var,,6,31,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A60-20M V4 14 pole,170,2400,7000,14,0.97,36,750,75.2,60,8,4512,270720,767040,46022400,2.17066E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-14L V4 14 pole,170,2400,7000,14,0.97,36,750,75.2,60,8,4512,270720,767040,46022400,2.17066E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-14 L,192,3000,7000,12,2.5,16,910,80,59,8,4720,278480,906240,53468160,1.78954E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-16L V4 14 pole,168,3200,7000,14,1.3,27,905,85.2,60,8,5112,306720,858816,51528960,1.63842E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-16 L,168,3000,7000,12,1.8,18,910,80,59,8,4720,278480,792960,46784640,2.04518E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-18L V4 14 pole,149,3300,7000,14,1.21,34,905,85.2,60,8,5112,306720,761688,45701280,1.87599E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-18 L,149,3000,7000,12,1.6,20,910,80,59,8,4720,278480,703280,41493520,2.30598E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-13XS F3A,225,2800,9000,28,1,24,520,65,88.5,8,5752.5,509096.25,1294312.5,114546656.3,1.35617E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-14XS F3A,209,2800,9000,28,0.9,25,520,65,88.5,8,5752.5,509096.25,1202272.5,106401116.3,1.45999E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-11S 28 pole,205,3000,9000,28,1.1,20,630,69,88.5,8,6106.5,540425.25,1251832.5,110787176.3,1.25011E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-13S 20 pole F3A,215,3000,9000,20,1.3,29,610,69,88.5,8,6106.5,540425.25,1312897.5,116191428.8,1.19197E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-13S 28 pole,175,3000,9000,28,0.9,29,610,69,88.5,8,6106.5,540425.25,1068637.5,94574418.75,1.46442E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-7M V2,210,5500,9000,28,1.6,10,1035,79.3,88.5,10,7018.05,621097.425,1473790.5,130430459.3,1.01536E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-8M V2,180,5500,9000,28,1.6,13,1035,79.3,88.5,10,7018.05,621097.425,1263249,111797536.5,1.18458E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-11M V2,135,5500,7500,28,1,21,1035,79.3,88.5,10,7018.05,621097.425,947436.75,83848152.38,1.57945E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-5L V2,215,7000,9000,28,2.4,7,1255,89.3,88.5,10,7903.05,699419.925,1699155.75,150375283.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-6L V2,180,7000,9000,28,1.8,9,1255,89.3,88.5,10,7903.05,699419.925,1422549,125895586.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80-7L V2,155,7000,9000,28,1.7,12,1255,89.3,88.5,10,7903.05,699419.925,1224972.75,108410088.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100-6M,168,9300,,28,3.16,49,1830,95.5,113,10,10791.5,1219439.5,1812972,204865836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100-7M,140,9500,,28,2.68,66,1830,95.5,113,10,10791.5,1219439.5,1510810,170721530,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100-8M,126,8800,,28,2.23,86,1830,95.5,113,10,10791.5,1219439.5,1359729,153649377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100-9M,110,7100,,28,1.86,106,1830,95.5,113,10,10791.5,1219439.5,1187065,134138345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100-5L,137,7100,,28,3.16,53,2300,107.5,113,10,12147.5,1372667.5,1664207.5,188055447.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A100-10,150,7000,8000,20,2.5,16,1900,110,109,10,11990,1306910,1798500,196036500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A150-10,133,9000,8000,20,3.3,20,2100,114,109,10,12426,1354434,1652658,180139722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A150-8,166,9000,8000,20,3.6,15,2100,114,109,10,12426,1354434,2062716,224836044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2808/16 GOLD LINE V2 LONG,1820,170,,,2,75,85,39,35,,1365,47775,2484300,86950500,1.57867E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1490,256,,,1.2,105,85,39,35,,1365,47775,2033850,71184750,2.36631E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2808/24 GOLD LINE V2 LONG,1190,232,,,1,115,85,39,35,,1365,47775,1624350,56852250,2.82056E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,170,,,2,75,77,31.5,35,,1102.5,38587.5,2006550,70229250,3.33373E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2808/20 GOLD LINE V2,1490,256,,,1.3,105,77,31.5,35,,1102.5,38587.5,1642725,57495375,4.99702E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1190,232,,,1,115,77,31.5,35,,1102.5,38587.5,1311975,45919125,5.95626E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2814/10 GOLD LINE V2 LONG,1640,460,,,2.2,37,115,45,35,,1575,55125,2583000,90405000,1.74645E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1390,360,,,1.7,53,115,45,35,,1575,55125,2189250,76623750,1.82287E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2814/16 GOLD LINE V2 LONG,1035,325,,,1,85,115,45,35,,1575,55125,1630125,57054375,2.32606E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,840,355,,,0.6,145,115,45,35,,1575,55125,1323000,46305000,2.9954E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2820/8 GOLD LINE V2 LONG,1500,565,,,3.2,26,158,52,35,,1820,63700,2730000,95550000,1.27581E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200,585,,,2.2,39,158,52,35,,1820,63700,2184000,76440000,1.62274E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2820/12 GOLD LINE V2 LONG,990,650,,,1.6,59,158,52,35,,1820,63700,1801800,63063000,2.07336E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,860,520,,,1.6,78,158,52,35,,1820,63700,1565200,54782000,2.13479E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2814/6D GOLD LINE V2,2850,550,,,4.5,22,107,37.5,35,,1312.5,45937.5,3740625,130921875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1640,460,,,2.3,37,107,37.5,35,,1312.5,45937.5,2152500,75337500,3.3059E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2814/12 GOLD LINE V2,1390,360,,,1.8,53,107,37.5,35,,1312.5,45937.5,1824375,63853125,3.45057E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1035,325,,,1,85,107,37.5,35,,1312.5,45937.5,1358437.5,47545312.5,4.40307E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2814/20 GOLD LINE V2,840,355,,,0.7,145,107,37.5,35,,1312.5,45937.5,1102500,38587500,5.67008E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1500,565,,,3.3,26,148,46,35,,1610,56350,2415000,84525000,1.9595E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2820/10 GOLD LINE V2,1200,585,,,2.3,39,148,46,35,,1610,56350,1932000,67620000,2.49235E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,990,650,,,1.7,59,148,46,35,,1610,56350,1593900,55786500,3.18444E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2820/14 GOLD LINE V2,860,520,,,1.7,78,148,44,35,,1540,53900,1324400,46354000,3.83074E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,760,655,,,1.2,62,187,57.5,35,,2012.5,70437.5,1529500,53532500,1.90692E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 4120/14 GOLD LINE V2,660,1015,,,1.9,41,315,54.4,49,,2665.6,130614.4,1759296,86205504,1.69317E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,515,1500,,,1.3,70,315,54.4,49,,2665.6,130614.4,1372784,67266416,2.63785E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 4120/20 GOLD LINE V2,465,1160,,,1.4,82,315,54.4,49,,2665.6,130614.4,1239504,60735696,2.56914E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,385,1780,,,1.2,63,410,64.4,49,,3155.6,154624.4,1214906,59530394,2.1294E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 4130/20 GOLD LINE V2,305,1650,,,1.1,99,410,64.4,49,,3155.6,154624.4,962458,47160442,2.58791E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370,1850,,,1.3,23,515,59.2,63,,3729.6,234964.8,1379952,86936976,1.83475E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5320/28 GOLD LINE V2,249,1600,,,1.3,57,515,59.2,63,,3729.6,234964.8,928670.4,58506235.2,2.53544E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206,1850,,,1.1,84,515,59.2,63,,3729.6,234964.8,768297.6,48402748.8,3.29543E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5325/18 GOLD LINE V2,308,2440,,,1.6,32,595,63.2,63,,3981.6,250840.8,1226332.8,77258966.4,2.01351E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,2430,,,1.9,37,595,63.2,63,,3981.6,250840.8,1114848,70235424,2.21032E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5325/24 GOLD LINE V2,232,2850,,,1.6,45,595,63.2,63,,3981.6,250840.8,923731.2,58195065.6,2.88897E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,2650,,,2,26,595,63.2,63,,3981.6,250840.8,1393560,87794280,1.84656E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5320/18 3D EXTREME KV370 V2,370,1900,,,1.3,23,530,55.2,63,,3477.6,219088.8,1286712,81062856,2.37524E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,259,2870,,,1.9,32,672,68.2,63,,4296.6,270685.8,1112819.4,70107622.2,1.98937E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5330/24 GOLD LINE V2,197,2220,,,1.4,57,672,68.2,63,,4296.6,270685.8,846430.2,53325102.6,2.3003E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,2780,,,1.7,45,672,68.2,63,,4296.6,270685.8,1009701,63611163,2.15788E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5325/16 3D EXTREME KV350 V2,350,2700,,,2,26,640,61.2,63,,3855.6,242902.8,1349460,85015980,2.08594E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,2500,,,1.9,37,640,61.2,63,,3855.6,242902.8,1079568,68012784,2.509E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5330/24 3D EXTREME KV197 V2,197,2500,,,1.4,57,690,65.2,63,,4107.6,258778.8,809197.2,50979423.6,2.8573E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,2900,,,1.7,45,690,65.2,63,,4107.6,258778.8,965286,60813018,2.57978E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5345/14 HD GOLD LINE V2,225,4200,,,2.5,27,995,84.3,63,,5310.9,334586.7,1194952.5,75282007.5,1.31936E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,195,4195,,,2,34,995,84.3,63,,5310.9,334586.7,1035625.5,65244406.5,1.52144E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5345/18 HD GOLD LINE V2,171,3510,,,1.5,42,995,84.3,63,,5310.9,334586.7,908163.9,57214325.7,1.58701E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,3870,,,1.5,42,995,84.3,63,,5310.9,334586.7,770080.5,48515071.5,1.96521E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 5345/16 HD SAILPLANE GOLD LINE V2,195,4195,,,2,34,995,84.3,63,,5310.9,334586.7,1035625.5,65244406.5,1.52144E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,3500,,,1.5,42,995,84.3,63,,5310.9,334586.7,908163.9,57214325.7,1.58475E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2808/24 CYCLONE,1190,240,,,1,115,130,57,40,,2280,91200,2713200,108528000,5.81938E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,840,365,,,0.6,145,164,63,40,,2520,100800,2116800,84672000,7.16235E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2814/16 CYCLONE,1035,335,,,1,85,164,63,40,,2520,100800,2608200,104328000,5.56891E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,860,530,,,1.6,78,197,69,40,,2760,110400,2373600,94944000,6.13123E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2820/12 CYCLONE,990,660,,,1.6,59,158,69,40,,2760,110400,2732400,109296000,5.94354E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,760,665,,,1.2,62,230,75,40,,3000,120000,2280000,91200000,5.80447E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXI 2826/10 CYCLONE,920,675,,,1.2,42,230,75,40,,3000,120000,2760000,110400000,4.83092E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion S-1804-1650KV,1650,32.5,,,0.25,400,12,16,23,2.98,368,8464,607200,13965600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2205-1900KV (V2),1900,130,,,0.58,128,35,23,27.9,2.98,641.7,17903.43,1219230,34016517,1.32118E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
