Motor Name,Kv,Max Watts,Max RPM,Timing,Switching Frequency,Poles,Idle Current,__Idle Voltage,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Link,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,Predicted Diam,Diam_pred,,1,Length_pred,,,,,Rm_pred,error%,residuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbax Conversion Kit w/ HK4035-800,800,4200,,,,,2.5,,10,574,61.5,48.9,4.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/turbax_kit/Turbax_Conversion_Kit/,3007.35,147059.415,2405880,117647532,0.000238095,7.439553637E+01,4200,8.49997E-09,75.78395539,4.194411420E+05,2.384124731E-06,,,2.984917737E+01,1.984917737,1.984917737E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3026-710KV (V2),710,1000,,,,,1.56,,22,205,51.75,37.5,4.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/s-30_v2/SII-3026-710KV/,1940.625,72773.4375,1377843.75,51669140.63,0.001,4.106680542E+01,1000,1.93539E-08,53.13041174,8.960351000E+04,1.116027709E-05,,,3.129603333E+01,0.42254697,9.296033333E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3026-890KV (V2),890,1025,,,,,1.9,,14,205,51.75,37.5,4.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/s-30_v2/SII-3026-890KV/,1940.625,72773.4375,1727156.25,64768359.38,0.00097561,4.135949343E+01,1025,1.54396E-08,53.44760911,9.142789150E+04,1.093758134E-05,,,3.119229018E+01,1.228020727,1.719229018E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3026-1190KV (V2),1190,1050,,,,,3.26,,8,205,51.75,37.5,4.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/s-30_v2/SII-3026-1190KV/,1940.625,72773.4375,2309343.75,86600390.63,0.000952381,4.165167266E+01,1050,1.15473E-08,53.75881878,9.326412300E+04,1.072223667E-05,,,3.110518379E+01,2.888147974,2.310518379E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4020-420KV,420,1500,,,,,0.91,,32,288,46.15,48.9,5.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII_4020-420/,2256.735,110354.3415,947828.7,46348823.43,0.000666667,4.682389808E+01,1500,2.15755E-08,58.53772458,1.283426400E+05,7.791642746E-06,,,3.082045764E+01,-0.036860699,-1.179542356E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4020-540KV,540,1850,,,,,1.22,,20,288,46.15,48.9,5.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII_4020-540/,2256.735,110354.3415,1218636.9,59591344.41,0.000540541,5.073277417E+01,1850,1.6781E-08,61.49640493,1.582803310E+05,6.317904402E-06,,,3.093423966E+01,0.546711983,1.093423966E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4020-630KV,630,1500,,,,,1.54,,15,288,46.15,48.9,5.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII_4020-630/,2256.735,110354.3415,1421743.05,69523235.15,0.000666667,4.682389808E+01,1500,1.43837E-08,58.53772458,1.283426400E+05,7.791642746E-06,,,3.082045764E+01,1.054697176,1.582045764E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4025-330KV,330,2000,,,,,0.74,,37,353,54.1,48.9,5.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4025-330/,2645.49,129364.461,873011.7,42690272.13,0.0005,5.237748020E+01,2000,2.34245E-08,62.63094807,1.718217700E+05,5.819984278E-06,,,3.095101469E+01,-0.163486089,-6.048985310E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4025-440KV,440,2000,,,,,1.1,,25,353,54.1,48.9,5.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4025-440/,2645.49,129364.461,1164015.6,56920362.84,0.0005,5.237748020E+01,2000,1.75684E-08,62.63094807,1.718217700E+05,5.819984278E-06,,,3.095101469E+01,0.238040588,5.951014690E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4025-520KV,520,2000,,,,,1.4,,16,353,54.1,48.9,5.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4025-520/,2645.49,129364.461,1375654.8,67269519.72,0.0005,5.237748020E+01,2000,1.48656E-08,62.63094807,1.718217700E+05,5.819984278E-06,,,3.095101469E+01,0.934438418,1.495101469E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
