Motor Name,Kv,Max Watts,Max RPM,Timing,Switching Frequency,Poles,Idle Current,__Idle Voltage,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Link,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,Predicted Diam,Diam_pred,,1,Length_pred,,,,,Rm_pred,error%,residuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-12 L 10 pole EVO,2100,250,30000,20-25,,10,2,,30,50,34,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-12-l-10-pole-evo/,952,26656,1999200,55977600,0.004,3.204958417E+01,250,1.78643E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,2.239667813,6.719003439E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-20 L EVO,1022,250,30000,20-25,,14,0.85,,109,50,34,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-20-l-evo/,952,26656,972944,27242432,0.004,3.204958417E+01,250,3.67074E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,-0.108348308,-1.180996561E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-22 L EVO,924,240,30000,20-25,,14,0.75,,89,50,34,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-22-l-evo/,952,26656,879648,24630144,0.004166667,3.192626120E+01,240,4.06007E-08,39.04505152,3.979808040E+04,2.512684004E-05,,,1.014649005E+02,0.140055062,1.246490055E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-12 XL EVO,1039,300,30000,20-25,,10,1.2,,75,78,40,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-12-xl-evo/,1120,31360,1163680,32583040,0.003333333,3.266497799E+01,300,3.06908E-08,40.6109616,4.333192800E+04,2.307767150E-05,,,7.959578421E+01,0.061277123,4.595784211E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-6 XL 10 pole EVO,2500,400,30000,20-25,,10,3.4,,20,78,40,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-6-xl-10-pole-evo/,1120,31360,2800000,78400000,0.0025,3.388966032E+01,400,1.27551E-08,42.98908473,4.937335400E+04,2.025383975E-05,,,5.755487558E+01,1.877743779,3.755487558E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-6 XL 8 pole EVO,3500,400,30000,20-25,,8,3.4,,14,78,40,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-6-xl-8-pole-evo/,1120,31360,3920000,109760000,0.0025,3.388966032E+01,400,9.11079E-09,42.98908473,4.937335400E+04,2.025383975E-05,,,5.755487558E+01,3.111062542,4.355487558E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-8XL EVO,1500,350,30000,20-25,,10,2.6,,26,78,40,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-8xl-evo-kv-1500/,1120,31360,1680000,47040000,0.002857143,3.327833671E+01,350,2.12585E-08,41.83397667,4.632894100E+04,2.158478002E-05,,,6.686285410E+01,1.571648234,4.086285410E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-33 S V3,1440,300,20000,20-25,,14,1.4,,41,70,28,37,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-22-s-v3/,1036,38332,1491840,55198080,0.003333333,3.266497799E+01,300,1.81166E-08,40.6109616,4.333192800E+04,2.307767150E-05,,,7.959578421E+01,0.941360591,3.859578421E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-28 S V3,1140,300,20000,20-25,,14,1.1,,68,70,28,37,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-28-s-v3/,1036,38332,1181040,43698480,0.003333333,3.266497799E+01,300,2.28841E-08,40.6109616,4.333192800E+04,2.307767150E-05,,,7.959578421E+01,0.170526238,1.159578421E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-42S-UAV,850,250,20000,20-25,,14,0.6,,140,89,28,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-42s-uav-shaft-with-lht/,1036,38332,880600,32582200,0.004,3.204958417E+01,250,3.06916E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,-0.305785469,-4.280996561E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-42S-UAV2,850,250,20000,20-25,,14,0.6,,140,89,28,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-42s-uav-shaft-with-rht/,1036,38332,880600,32582200,0.004,3.204958417E+01,250,3.06916E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,-0.305785469,-4.280996561E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-52S-UAV,680,250,20000,20-25,,14,0.4,,220,89,28,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-52s-uav-shaft-with-lht/,1036,38332,704480,26065760,0.004,3.204958417E+01,250,3.83645E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,-0.558227116,-1.228099656E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-12 M V3,1370,400,18000,20-25,,14,2.2,,22,104,34,37,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-12-m-v3/,1258,46546,1723460,63768020,0.0025,3.388966032E+01,400,1.56818E-08,42.98908473,4.937335400E+04,2.025383975E-05,,,5.755487558E+01,1.616130708,3.555487558E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-14 M V2,3600,500,45000,20-25,,6,3.1,,19,104,34,35,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-14-m-v2-6-pole/,1190,41650,4284000,149940000,0.002,3.510620222E+01,500,6.66933E-09,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,1.400114307,2.660217183E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-16 M V3,1060,400,18000,20-25,,14,1.6,,38,104,34,37,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-16-m-v3/,1258,46546,1333480,49338760,0.0025,3.388966032E+01,400,2.0268E-08,42.98908473,4.937335400E+04,2.025383975E-05,,,5.755487558E+01,0.514601989,1.955487558E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-18 M V2,2900,500,45000,20-25,,6,1.8,,31,104,34,35,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-18-m-v2-6-pole/,1190,41650,3451000,120785000,0.002,3.510620222E+01,500,8.27917E-09,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,0.471037801,1.460217183E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-24M-UAV,680,350,20000,20-25,,14,0.9,,80,134,34,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-24m-uav-shaft-with-lht/,1258,46546,855440,31651280,0.002857143,3.327833671E+01,350,3.15943E-08,41.83397667,4.632894100E+04,2.158478002E-05,,,6.686285410E+01,-0.164214324,-1.313714590E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-30M-UAV,550,350,20000,20-25,,14,0.7,,100,134,34,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-30m-uav-shaft-with-lht/,1258,46546,691900,25600300,0.002857143,3.327833671E+01,350,3.9062E-08,41.83397667,4.632894100E+04,2.158478002E-05,,,6.686285410E+01,-0.331371459,-3.313714590E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-10 L V3,1185,500,16000,20-25,,14,2.3,,23,143,40,37.2,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-10-l-v3/,1488,55353.6,1763280,65594016,0.002,3.510620222E+01,500,1.52453E-08,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,0.982703123,2.260217183E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-12 L V2 6 pole,2800,750,45000,20-25,,6,2.8,,16,125,39,35,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-12-l-v2-6-pole/,1365,47775,3822000,133770000,0.001333333,3.811194264E+01,750,7.47552E-09,49.57689842,7.201144500E+04,1.388668149E-05,,,3.401233988E+01,1.125771242,1.801233988E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-12 L V3,1000,500,16000,20-25,,14,1.8,,30,143,40,37.2,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-12-l-v3/,1488,55353.6,1488000,55353600,0.002,3.510620222E+01,500,1.80657E-08,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,0.520072394,1.560217183E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-14 L V3,800,500,16000,20-25,,14,1.6,,36,143,40,37.2,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-14-l-v3/,1488,55353.6,1190400,44282880,0.002,3.510620222E+01,500,2.25821E-08,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,0.266726995,9.602171834E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-18L-UAV,680,500,,20-25,,14,1,,50,170,40,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-18l-uav-shaft-with-lht/,1480,54760,1006400,37236800,0.002,3.510620222E+01,500,2.68552E-08,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,-0.087956563,-4.397828166E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-28L-UAV,450,500,,20-25,,14,0.6,,120,170,40,37,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-28l-uav-shaft-with-lht/,1480,54760,666000,24642000,0.002,3.510620222E+01,500,4.05811E-08,45.11711306,5.560438000E+04,1.798419477E-05,,,4.560217183E+01,-0.619981901,-7.439782817E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-10 XL V3,900,650,15000,20-25,,14,1.9,,24,177,46,37.2,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-10-xl-v3/,1711.2,63656.64,1540080,57290976,0.001538462,3.691575179E+01,650,1.74548E-08,47.92172426,6.530641900E+04,1.531243047E-05,,,3.682335711E+01,0.534306546,1.282335711E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-12 XL V3,700,650,15000,20-25,,14,1.5,,34,177,46,37.2,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-12-xl-v3/,1711.2,63656.64,1197840,44559648,0.001538462,3.691575179E+01,650,2.24418E-08,47.92172426,6.530641900E+04,1.531243047E-05,,,3.682335711E+01,0.083039915,2.823357106E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30-8 XL V3,1100,650,15000,20-25,,14,2.8,,15,177,46,37.2,4,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a30-8-xl-v3/,1711.2,63656.64,1882320,70022304,0.001538462,3.691575179E+01,650,1.42812E-08,47.92172426,6.530641900E+04,1.531243047E-05,,,3.682335711E+01,1.454890474,2.182335711E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-10S V2 14 pole,750,900,,20-25,,14,2.8,,12,208,42,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-10s-v2-14-pole/,1751.4,73033.38,1313550,54775035,0.001111111,3.989096562E+01,900,1.82565E-08,51.79730196,8.242448400E+04,1.213231738E-05,,,3.193211851E+01,1.661009876,1.993211851E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-10S V2 8 pole,1600,900,,20-25,,8,2.6,,14,208,42,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-10s-v2-8-pole/,1751.4,73033.38,2802240,116853408,0.001111111,3.989096562E+01,900,8.55773E-09,51.79730196,8.242448400E+04,1.213231738E-05,,,3.193211851E+01,1.280865608,1.793211851E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-12S V2 8 pole,1350,900,,20-25,,8,1.9,,17,208,42,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-12s-v2-8-pole/,1751.4,73033.38,2364390,98595063,0.001111111,3.989096562E+01,900,1.01425E-08,51.79730196,8.242448400E+04,1.213231738E-05,,,3.193211851E+01,0.878359912,1.493211851E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-16S V2 8 pole,1000,900,,20-25,,8,1.3,,30,208,42,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-16s-v2-8-pole/,1751.4,73033.38,1751400,73033380,0.001111111,3.989096562E+01,900,1.36924E-08,51.79730196,8.242448400E+04,1.213231738E-05,,,3.193211851E+01,0.06440395,1.932118510E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-10L V2 14 pole,500,1100,,20-25,,14,1.7,,18,272,52,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-10l-v2-14-pole/,2168.4,90422.28,1084200,45211140,0.000909091,4.223450479E+01,1100,2.21184E-08,54.3640933,9.697213600E+04,1.031224062E-05,,,3.097251747E+01,0.720695415,1.297251747E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-10L V2 8 pole,1100,1100,,20-25,,8,1.7,,19,272,52,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-10l-v2-8-pole/,2168.4,90422.28,2385240,99464508,0.000909091,4.223450479E+01,1100,1.00538E-08,54.3640933,9.697213600E+04,1.031224062E-05,,,3.097251747E+01,0.630132498,1.197251747E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-12L V2 14 pole,410,1100,,20-25,,14,1.5,,25,272,52,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-12l-v2-14-pole/,2168.4,90422.28,889044,37073134.8,0.000909091,4.223450479E+01,1100,2.69737E-08,54.3640933,9.697213600E+04,1.031224062E-05,,,3.097251747E+01,0.238900699,5.972517466E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-14L V2 14 pole,355,1100,,20-25,,14,1.1,,32,272,52,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-14l-v2-14-pole/,2168.4,90422.28,769782,32099909.4,0.000909091,4.223450479E+01,1100,3.11527E-08,54.3640933,9.697213600E+04,1.031224062E-05,,,3.097251747E+01,-0.032108829,-1.027482534E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-8L V2 8 pole,1300,1100,,20-25,,8,2.5,,14,272,52,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-8l-v2-8-pole/,2168.4,90422.28,2818920,117548964,0.000909091,4.223450479E+01,1100,8.50709E-09,54.3640933,9.697213600E+04,1.031224062E-05,,,3.097251747E+01,1.212322676,1.697251747E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-14S V2 14 pole,530,900,,20-25,,14,1.4,,21,208,42,41.7,5,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a40-14s-v2-14-pole/,1751.4,73033.38,928242,38707691.4,0.001111111,3.989096562E+01,900,2.58347E-08,51.79730196,8.242448400E+04,1.213231738E-05,,,3.193211851E+01,0.520577072,1.093211851E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14 XS V3,520,1100,12000,20-25,,14,1.5,,18,289,47,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-14-xs-v3/,2288.9,111469.43,1190228,57964103.6,0.000909091,4.223450479E+01,1100,1.72521E-08,54.3640933,9.697213600E+04,1.031224062E-05,,,3.097251747E+01,0.720695415,1.297251747E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-12 S V4,480,1250,12000,20-25,,14,1.8,,16,345,52,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-12-s-v3-2/,2532.4,123327.88,1215552,59197382.4,0.0008,4.397079056E+01,1250,1.68926E-08,56.05610304,1.083805750E+05,9.226745660E-06,,,3.079639968E+01,0.92477498,1.479639968E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14 S V3,425,1250,12000,20-25,,14,1.5,,21,345,52,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-14-s-v3/,2532.4,123327.88,1076270,52414349,0.0008,4.397079056E+01,1250,1.90787E-08,56.05610304,1.083805750E+05,9.226745660E-06,,,3.079639968E+01,0.466495223,9.796399681E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-16 S V3,365,1250,12000,20-25,,14,1.4,,26,345,52,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-16-s-v3/,2532.4,123327.88,924326,45014676.2,0.0008,4.397079056E+01,1250,2.2215E-08,56.05610304,1.083805750E+05,9.226745660E-06,,,3.079639968E+01,0.184476911,4.796399681E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-6S Turnado V3,1100,2800,,20-25,,10,5.1,,7,348,51,51.5,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-6s-turnado-v3/,2626.5,135264.75,2889150,148791225,0.000357143,6.083990968E+01,2800,6.72083E-09,67.87733185,2.512475780E+05,3.980137870E-06,,,3.071187127E+01,3.387410182,2.371187127E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-8S Turnado V3,850,2800,,20-25,,10,4.1,,9,348,51,51.5,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-8s-turnado-v3/,2626.5,135264.75,2232525,114975037.5,0.000357143,6.083990968E+01,2800,8.69754E-09,67.87733185,2.512475780E+05,3.980137870E-06,,,3.071187127E+01,2.412430141,2.171187127E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-10L Turnado V3,530,4500,,20-25,,10,1.9,,15,455,61,51.5,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-10-l-turnado-v3/,3141.5,161787.25,1664995,85747242.5,0.000222222,7.709273277E+01,4500,1.16622E-08,77.45162409,4.603174200E+05,2.172413983E-06,,,2.967145231E+01,0.978096821,1.467145231E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-12 L V3,355,1650,9000,20-25,,14,1.5,,21,445,62,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-12-l-v3/,3019.4,147044.78,1071887,52200896.9,0.000606061,4.851134132E+01,1650,1.91568E-08,59.86728061,1.408886790E+05,7.097802372E-06,,,3.087727257E+01,0.470346313,9.877272573E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14 L V3,300,1650,9000,20-25,,14,1,,25,445,62,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-14-l-v3/,3019.4,147044.78,905820,44113434,0.000606061,4.851134132E+01,1650,2.26688E-08,59.86728061,1.408886790E+05,7.097802372E-06,,,3.087727257E+01,0.235090903,5.877272573E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14L Turnado V3,400,4500,,20-25,,10,1.1,,26,455,61,51.5,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-14l-turnado-v3-with-long-shaft/,3141.5,161787.25,1256600,64714900,0.000222222,7.709273277E+01,4500,1.54524E-08,77.45162409,4.603174200E+05,2.172413983E-06,,,2.967145231E+01,0.141209704,3.671452309E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-16 L V3,265,1650,9000,20-25,,14,1,,31,445,62,48.7,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-16-l-v3/,3019.4,147044.78,800141,38966866.7,0.000606061,4.851134132E+01,1650,2.56628E-08,59.86728061,1.408886790E+05,7.097802372E-06,,,3.087727257E+01,-0.003958949,-1.227274270E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-12L Turnado V3,450,4500,,20-25,,10,1.2,,19,455,61,51.5,6,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a50-12l-turnado-v3-with-long-shaft/,3141.5,161787.25,1413675,72804262.5,0.000222222,7.709273277E+01,4500,1.37355E-08,77.45162409,4.603174200E+05,2.172413983E-06,,,2.967145231E+01,0.561655385,1.067145231E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-5XS V4 28 pole,420,1900,9000,25,,28,2.4,,12,480,60,52,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-5xs-v4-28-pole-1900-watt-brushless-motor-420-rpmvolt/,3120,162240,1310400,68140800,0.000526316,5.128304462E+01,1900,1.46755E-08,61.88205207,1.627467440E+05,6.144516169E-06,,,3.094248884E+01,1.578540736,1.894248884E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-6XS V4 28 pole,270,1900,9000,25,,28,2.4,,12,480,60,52,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60-6xs-v4-28-pole-1900-watt-brushless-motor-370-rpmvolt/,3120,162240,842400,43804800,0.000526316,5.128304462E+01,1900,2.28285E-08,61.88205207,1.627467440E+05,6.144516169E-06,,,3.094248884E+01,1.578540736,1.894248884E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-7XS V4 28 pole,320,2800,9000,25,,28,2.4,,12,480,60,52,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-7xs-v4-28-pole-2400-watt-brushless-motor-320-rpmvolt/,3120,162240,998400,51916800,0.000357143,6.083990968E+01,2800,1.92616E-08,67.87733185,2.512475780E+05,3.980137870E-06,,,3.071187127E+01,1.559322606,1.871187127E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-5S V4 28 pole,295,2700,7000,25,,28,1.7,,15,595,65,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-5s-v2-28-pole-copy/,3900,234000,1150500,69030000,0.00037037,5.981059747E+01,2700,1.44865E-08,67.27287137,2.406557520E+05,4.155313105E-06,,,3.076298852E+01,1.050865901,1.576298852E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-7S V4 28 pole,215,3400,7000,25,,28,1.7,,15,595,65,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-7s-v4-28-pole-3400-watt-brushless-motor-kv/,3900,234000,838500,50310000,0.000294118,6.684483409E+01,3400,1.98768E-08,71.34368696,3.187801340E+05,3.136958340E-06,,,3.035337754E+01,1.023558503,1.535337754E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-7S V2 28 pole,215,2100,7000,25,,28,1.2,,26,595,65,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-7s-v2-28-pole/,3900,234000,838500,50310000,0.00047619,5.346377536E+01,2100,1.98768E-08,63.35291154,1.810863960E+05,5.522225977E-06,,,3.094905447E+01,0.190348249,4.949054471E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-8S V4 28 pole,188,2800,7000,25,,28,1.7,,15,595,65,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-8s-v4-28-pole-2800-watt-brushless-motor-188-kv/,3900,234000,733200,43992000,0.000357143,6.083990968E+01,2800,2.27314E-08,67.87733185,2.512475780E+05,3.980137870E-06,,,3.071187127E+01,1.047458085,1.571187127E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-20S V2 28 Pole,245,1900,7000,25,,28,1.7,,27,595,60,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-20s-v2-28-pole-kv245/,3600,216000,882000,52920000,0.000526316,5.128304462E+01,1900,1.88964E-08,61.88205207,1.627467440E+05,6.144516169E-06,,,3.094248884E+01,0.146018105,3.942488837E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-22S V2 28 pole,217,1900,7000,25,,28,1.5,,30,595,60,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60-22s-v2-28-pole-kv217/,3600,216000,781200,46872000,0.000526316,5.128304462E+01,1900,2.13347E-08,61.88205207,1.627467440E+05,6.144516169E-06,,,3.094248884E+01,0.031416295,9.424888368E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-24S V2 28 pole,195,1900,7000,25,,28,1.3,,38,595,60,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60-24s-v2-28-pole-kv195/,3600,216000,702000,42120000,0.000526316,5.128304462E+01,1900,2.37417E-08,61.88205207,1.627467440E+05,6.144516169E-06,,,3.094248884E+01,-0.185723978,-7.057511163E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-16M V4 14 pole,215,3400,7000,25,,14,1.7,,15,750,75.2,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-16m-v4-28-pole-3400-watt-brushless-motor-215-kv/,4512,270720,970080,58204800,0.000294118,6.684483409E+01,3400,1.71807E-08,71.34368696,3.187801340E+05,3.136958340E-06,,,3.035337754E+01,1.023558503,1.535337754E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-16 M,215,2200,7000,25,,12,1.9,,22,760,70,59,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60-16-m-kv-215/,4130,243670,887950,52389050,0.000454545,5.454193010E+01,2200,1.9088E-08,64.05109721,1.905406220E+05,5.248224707E-06,,,3.093721334E+01,0.40623697,8.937213338E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-18M V4 14 pole,190,3200,7000,25,,14,1,,29,750,75.2,60,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-18m-v4-28-pole-3400-watt-brushless-motor-215-kv-copy/,4512,270720,857280,51436800,0.0003125,6.487575431E+01,3200,1.94413E-08,70.21156239,2.955108820E+05,3.383970138E-06,,,3.047911304E+01,0.051003898,1.479113037E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-18 M,190,2200,7000,25,,12,1.8,,27,760,70,59,8,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a60/a60-18-m-kv-190/,4130,243670,784700,46297300,0.000454545,5.454193010E+01,2200,2.15995E-08,64.05109721,1.905406220E+05,5.248224707E-06,,,3.093721334E+01,0.145822716,3.937213338E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
