Company,Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,x,1/resistance
Hacker USA,A60-6XS V4 28 pole,270,1900,9000,28,2.4,12,480,60,52,0.038840154,0.083333333
Hacker USA,A60-7XS V4 28 pole,320,2800,9000,28,2.4,12,480,60,52,0.039505682,0.083333333
Hacker USA,A60-5S V4 28 pole,295,2700,7000,28,1.7,15,595,65,60,0.031885487,0.066666667
Hacker USA,A60-7S V4 28 pole,215,3400,7000,28,1.7,15,595,65,60,0.030892617,0.066666667
Hacker USA,A60-7S V2 28 pole,215,2100,7000,28,1.2,26,595,65,60,0.030892617,0.038461538
Hacker USA,A60-8S V4 28 pole,188,2800,7000,28,1.7,15,595,65,60,0.03048082,0.066666667
Hacker USA,A60-20S V2 28 Pole,245,1900,7000,28,1.7,27,595,60,60,0.028891185,0.037037037
Hacker USA,A60-22S V2 28 pole,217,1900,7000,28,1.5,30,595,60,60,0.028542678,0.033333333
Hacker USA,A60-24S V2 28 pole,195,1900,7000,28,1.3,38,595,60,60,0.028239188,0.026315789
Hacker USA,A60-16M V4 14 pole,215,3400,7000,14,1.7,15,750,75.2,60,0.035740382,0.066666667
Hacker USA,A60-16 M,215,2200,7000,12,1.9,22,760,70,59,0.034406291,0.045454545
Hacker USA,A60-18M V4 14 pole,190,3200,7000,14,1,29,750,75.2,60,0.0353013,0.034482759
Hacker USA,A60-18 M,190,2200,7000,12,1.8,27,760,70,59,0.033983599,0.037037037
Hacker USA,A60-20 M,170,2200,7000,12,1.7,32,760,70,59,0.033607709,0.03125
Hacker USA,A60-20M V4 14 pole,170,2400,7000,14,0.97,36,750,75.2,60,0.034910835,0.027777778
Hacker USA,A60-14L V4 14 pole,170,2400,7000,14,0.97,36,750,75.2,60,0.034910835,0.027777778
Hacker USA,A60-14 L,192,3000,7000,12,2.5,16,910,80,59,0.03887909,0.0625
Hacker USA,A60-16L V4 14 pole,168,3200,7000,14,1.3,27,905,85.2,60,0.039506451,0.037037037
Hacker USA,A60-16 L,168,3000,7000,12,1.8,18,910,80,59,0.038363382,0.055555556
Hacker USA,A60-18L V4 14 pole,149,3300,7000,14,1.21,34,905,85.2,60,0.039035138,0.029411765
Hacker USA,A60-18 L,149,3000,7000,12,1.6,20,910,80,59,0.037905706,0.05
Hacker USA,Q80-13XS F3A,225,2800,9000,28,1,24,520,65,88.5,0.014264123,0.041666667
Hacker USA,Q80-14XS F3A,209,2800,9000,28,0.9,25,520,65,88.5,0.014159289,0.04
Hacker USA,Q80-11S 28 pole,205,3000,9000,28,1.1,20,630,69,88.5,0.015001612,0.05
Hacker USA,Q80-13S 20 pole F3A,215,3000,9000,20,1.3,29,610,69,88.5,0.015073232,0.034482759
Hacker USA,Q80-13S 28 pole,175,3000,9000,28,0.9,29,610,69,88.5,0.014766119,0.034482759
Hacker USA,Q80-7M V2,210,5500,9000,28,1.6,10,1035,79.3,88.5,0.01728258,0.1
Hacker USA,Q80-8M V2,180,5500,9000,28,1.6,13,1035,79.3,88.5,0.017018211,0.076923077
Hacker USA,Q80-11M V2,135,5500,7500,28,1,21,1035,79.3,88.5,0.016535602,0.047619048
Hacker USA,Q80-5L V2,215,7000,9000,28,2.4,7,1255,89.3,88.5,0.019507821,0.142857143
Hacker USA,Q80-6L V2,180,7000,9000,28,1.8,9,1255,89.3,88.5,0.019164265,0.111111111
Hacker USA,Q80-7L V2,155,7000,9000,28,1.7,12,1255,89.3,88.5,0.01887983,0.083333333
Hacker USA,Q100-6M,168,9300,,28,3.16,49,1830,95.5,113,0.01248468,0.020408163
Hacker USA,Q100-7M,140,9500,,28,2.68,66,1830,95.5,113,0.01225912,0.015151515
Hacker USA,Q100-8M,126,8800,,28,2.23,86,1830,95.5,113,0.012130635,0.011627907
Hacker USA,Q100-9M,110,7100,,28,1.86,106,1830,95.5,113,0.011967013,0.009433962
Hacker USA,Q100-5L,137,7100,,28,3.16,53,2300,107.5,113,0.013769673,0.018867925
Hacker USA,A100-10,150,7000,8000,20,2.5,16,1900,110,109,0.015280896,0.0625
Hacker USA,A150-10,133,9000,8000,20,3.3,20,2100,114,109,0.015647214,0.05
Hacker USA,A150-8,166,9000,8000,20,3.6,15,2100,114,109,0.015997888,0.066666667
Hacker USA,A200-6,151,15000,8000,20,5.1,12,2590,126,109,0.017515206,0.083333333
Hacker USA,A200-8,110,15000,8000,20,3.3,15,2590,126,109,0.016969022,0.066666667
Axi,AXI 2808/16 GOLD LINE V2 LONG,1820,170,,,2,75,85,39,35,0.06744281,0.013333333
Axi,,1490,256,,,1.2,105,85,39,35,0.066106954,0.00952381
Axi,AXI 2808/24 GOLD LINE V2 LONG,1190,232,,,1,115,85,39,35,0.064637301,0.008695652
Axi,,1820,170,,,2,75,77,31.5,35,0.054473039,0.013333333
Axi,AXI 2808/20 GOLD LINE V2,1490,256,,,1.3,105,77,31.5,35,0.053394078,0.00952381
Axi,,1190,232,,,1,115,77,31.5,35,0.052207051,0.008695652
Axi,AXI 2814/10 GOLD LINE V2 LONG,1640,460,,,2.2,37,115,45,35,0.077012427,0.027027027
Axi,,1390,360,,,1.7,53,115,45,35,0.075749175,0.018867925
Axi,AXI 2814/16 GOLD LINE V2 LONG,1035,325,,,1,85,115,45,35,0.073547931,0.011764706
Axi,,840,355,,,0.6,145,115,45,35,0.072028497,0.006896552
Axi,AXI 2820/8 GOLD LINE V2 LONG,1500,565,,,3.2,26,158,52,35,0.088201583,0.038461538
Axi,,1200,585,,,2.2,39,158,52,35,0.086255218,0.025641026
Axi,AXI 2820/12 GOLD LINE V2 LONG,990,650,,,1.6,59,158,52,35,0.084611769,0.016949153
Axi,,860,520,,,1.6,78,158,52,35,0.083429012,0.012820513
Axi,AXI 2814/6D GOLD LINE V2,2850,550,,,4.5,22,107,37.5,35,0.067823417,0.045454545
Axi,,1640,460,,,2.3,37,107,37.5,35,0.064177022,0.027027027
Axi,AXI 2814/12 GOLD LINE V2,1390,360,,,1.8,53,107,37.5,35,0.063124312,0.018867925
Axi,,1035,325,,,1,85,107,37.5,35,0.061289943,0.011764706
Axi,AXI 2814/20 GOLD LINE V2,840,355,,,0.7,145,107,37.5,35,0.060023748,0.006896552
Axi,,1500,565,,,3.3,26,148,46,35,0.078024477,0.038461538
Axi,AXI 2820/10 GOLD LINE V2,1200,585,,,2.3,39,148,46,35,0.076302693,0.025641026
Axi,,990,650,,,1.7,59,148,46,35,0.074848872,0.016949153
Axi,AXI 2820/14 GOLD LINE V2,860,520,,,1.7,78,148,44,35,0.070593779,0.012820513
Axi,,760,655,,,1.2,62,187,57.5,35,0.091119875,0.016129032
Axi,AXI 4120/14 GOLD LINE V2,660,1015,,,1.9,41,315,54.4,49,0.043367175,0.024390244
Axi,,515,1500,,,1.3,70,315,54.4,49,0.042304587,0.014285714
Axi,AXI 4120/20 GOLD LINE V2,465,1160,,,1.4,82,315,54.4,49,0.041874731,0.012195122
Axi,,385,1780,,,1.2,63,410,64.4,49,0.048645176,0.015873016
Axi,AXI 4130/20 GOLD LINE V2,305,1650,,,1.1,99,410,64.4,49,0.047525171,0.01010101
Axi,,370,1850,,,1.3,23,515,59.2,63,0.02694392,0.043478261
Axi,AXI 5320/28 GOLD LINE V2,249,1600,,,1.3,57,515,59.2,63,0.025897661,0.01754386
Axi,,206,1850,,,1.1,84,515,59.2,63,0.025411326,0.011904762
Axi,AXI 5325/18 GOLD LINE V2,308,2440,,,1.6,32,595,63.2,63,0.028241714,0.03125
Axi,,280,2430,,,1.9,37,595,63.2,63,0.02797382,0.027027027
Axi,AXI 5325/24 GOLD LINE V2,232,2850,,,1.6,45,595,63.2,63,0.027452682,0.022222222
Axi,,350,2650,,,2,26,595,63.2,63,0.028605055,0.038461538
Axi,AXI 5320/18 3D EXTREME KV370 V2,370,1900,,,1.3,23,530,55.2,63,0.025123385,0.043478261
Axi,,259,2870,,,1.9,32,672,68.2,63,0.029952512,0.03125
Axi,AXI 5330/24 GOLD LINE V2,197,2220,,,1.4,57,672,68.2,63,0.02914405,0.01754386
Axi,,235,2780,,,1.7,45,672,68.2,63,0.029662658,0.022222222
Axi,AXI 5325/16 3D EXTREME KV350 V2,350,2700,,,2,26,640,61.2,63,0.027699832,0.038461538
Axi,,280,2500,,,1.9,37,640,61.2,63,0.027088573,0.027027027
Axi,AXI 5330/24 3D EXTREME KV197 V2,197,2500,,,1.4,57,690,65.2,63,0.027862053,0.01754386
Axi,,235,2900,,,1.7,45,690,65.2,63,0.028357849,0.022222222
Axi,AXI 5345/14 HD GOLD LINE V2,225,4200,,,2.5,27,995,84.3,63,0.03650604,0.037037037
Axi,,195,4195,,,2,34,995,84.3,63,0.035987356,0.029411765
Axi,AXI 5345/18 HD GOLD LINE V2,171,3510,,,1.5,42,995,84.3,63,0.035517802,0.023809524
Axi,,145,3870,,,1.5,42,995,84.3,63,0.034936812,0.023809524
Axi,AXI 5345/16 HD SAILPLANE GOLD LINE V2,195,4195,,,2,34,995,84.3,63,0.035987356,0.029411765
Axi,,171,3500,,,1.5,42,995,84.3,63,0.035517802,0.023809524
Axi,AXI 2808/24 CYCLONE,1190,240,,,1,115,130,57,40,0.072328518,0.008695652
Axi,,840,365,,,0.6,145,164,63,40,0.077205545,0.006896552
Axi,AXI 2814/16 CYCLONE,1035,335,,,1,85,164,63,40,0.078834189,0.011764706
Axi,,860,530,,,1.6,78,197,69,40,0.084757659,0.012820513
Axi,AXI 2820/12 CYCLONE,990,660,,,1.6,59,158,69,40,0.085959252,0.016949153
Axi,,760,665,,,1.2,62,230,75,40,0.090996071,0.016129032
Axi,AXI 2826/10 CYCLONE,920,675,,,1.2,42,230,75,40,0.092751312,0.023809524
Scorpion,Scorpion S-1804-1650KV,1650,32.5,,,0.25,400,12,16,23,0.063447236,0.0025
Scorpion,Scorpion SII-2205-1900KV (V2),1900,130,,,0.58,128,35,23,27.9,0.062862955,0.0078125
Scorpion,Scorpion SII-2205-1585KV (V2),1585,110,,,0.47,182,35,23,27.9,0.061733707,0.005494505
Scorpion,Scorpion SII-2205-1490KV (V2),1490,110,,,0.42,188,35,23,27.9,0.061353318,0.005319149
Scorpion,Scorpion S-1805-2250KV,2250,45,,,0.25,400,16,18,23,0.073626658,0.0025
Scorpion,Scorpion SII-2208-1100KV (V2),1100,133,,,0.41,170,45,26,27.9,0.067282824,0.005882353
Scorpion,Scorpion SII-2208-1280KV (V2),1280,155,,,0.47,150,45,26,27.9,0.06831026,0.006666667
Scorpion,Scorpion S-2503-1610KV (F3P Special),1610,72,,,0.35,180,20,20.57,30.1,0.047509875,0.005555556
Scorpion,Scorpion S-2503-1960KV (F3P Special),1960,80,,,0.44,135,20,20.57,30.1,0.048453696,0.007407407
Scorpion,Scorpion SII-2212-885KV (V2),885,192,,,0.41,151,58,30,27.9,0.075963886,0.006622517
Scorpion,Scorpion SII-2212-960KV (V2),960,192,,,0.51,139,58,30,27.9,0.07658434,0.007194245
Scorpion,Scorpion SII-2212-1070KV (V2),1070,222,,,0.59,91,58,30,27.9,0.077419654,0.010989011
Scorpion,Scorpion SII-2212-1850KV (V2),1850,326,,,1.31,32,58,30,27.9,0.081776783,0.03125
Scorpion,Scorpion SII-2212-1400kv (V2),1400,370,,,0.73,91,58,30,27.9,0.079529024,0.010989011
Scorpion,Scorpion SII-2215-900KV (V2),900,237,,,0.52,142,68,33,27.9,0.083700834,0.007042254
Scorpion,Scorpion SII-2215-1127KV (V2),1127,296,,,0.73,78,68,33,27.9,0.085604762,0.012820513
Scorpion,Scorpion SII-2215-1810KV (V2),1810,370,,,1.35,31,68,33,27.9,0.089758046,0.032258065
Scorpion,Scorpion SII-2215-1400KV (V2),1400,518,,,0.95,95,68,33,27.9,0.087481926,0.010526316
Scorpion,Scorpion SII-3008-1090KV (V2),1090,370,,,0.79,58,95,33.75,37.5,0.048300752,0.017241379
Scorpion,Scorpion SII-3008-1220KV (V2),1220,425,,,0.97,42,95,33.75,37.5,0.048848049,0.023809524
